name,tour,serve_pts_won,return_pts_won,country_code,hand,style
Jannik Sinner,ATP,68,33,IT,R,Aggressive baseliner
Carlos Alcaraz,ATP,65,35,ES,R,All-court dynamo
Novak Djokovic,ATP,66,34,RS,R,Elite counter-puncher
Alexander Zverev,ATP,66,30,DE,R,Power baseliner
Daniil Medvedev,ATP,64,33,RU,R,Counter-punching baseliner
Andrey Rublev,ATP,63,30,RU,R,Aggressive baseliner
Casper Ruud,ATP,62,32,NO,R,Clay-court grinder
Taylor Fritz,ATP,66,28,US,R,Big serve flat hitter
Stefanos Tsitsipas,ATP,64,29,GR,R,One-handed backhand shotmaker
Hubert Hurkacz,ATP,68,25,PL,R,Big server
Alex de Minaur,ATP,61,33,AU,R,Speedster counter-puncher
Ben Shelton,ATP,68,26,US,L,Explosive lefty server
Holger Rune,ATP,63,31,DK,R,Aggressive all-courter
Tommy Paul,ATP,62,30,US,R,All-court athlete
Grigor Dimitrov,ATP,64,29,BG,R,Elegant all-courter
Frances Tiafoe,ATP,63,29,US,R,Athletic shotmaker
Ugo Humbert,ATP,65,28,FR,L,Lefty flat hitter
Francisco Cerundolo,ATP,61,31,AR,R,Clay-court baseliner
Jack Draper,ATP,65,30,GB,L,Lefty power baseliner
Matteo Berrettini,ATP,67,26,IT,R,Big serve forehand power
Felix Auger-Aliassime,ATP,66,27,CA,R,Power baseliner
Karen Khachanov,ATP,64,28,RU,R,Power baseliner
Alexander Bublik,ATP,67,27,KZ,R,Unpredictable shotmaker
Cameron Norrie,ATP,60,33,GB,L,Grinding lefty
Tallon Griekspoor,ATP,64,27,NL,R,Aggressive baseliner
Jan-Lennard Struff,ATP,65,27,DE,R,Big server
Jaume Munar,ATP,59,33,ES,R,Clay-court grinder
Brandon Nakashima,ATP,62,29,US,R,Steady baseliner
Tomas Martin Etcheverry,ATP,62,29,AR,R,Clay-court baseliner
Lorenzo Musetti,ATP,62,31,IT,R,One-handed backhand artist
Arthur Fils,ATP,64,28,FR,R,Explosive young baseliner
Alexei Popyrin,ATP,66,26,AU,R,Big serve flat power
Sebastian Baez,ATP,58,33,AR,R,Clay-court specialist
Tomas Machac,ATP,63,29,CZ,R,Athletic all-courter
Sebastian Korda,ATP,65,28,US,R,All-court shotmaker
Denis Shapovalov,ATP,64,28,CA,L,Lefty shotmaker
Borna Coric,ATP,62,30,HR,R,Steady baseliner
Jordan Thompson,ATP,62,29,AU,R,Scrappy all-courter
Alejandro Davidovich Fokina,ATP,61,30,ES,R,Flashy shotmaker
Jiri Lehecka,ATP,64,28,CZ,R,Power baseliner
Roger Federer,ATP,66,31,CH,R,Elegant all-court virtuoso
Rafael Nadal,ATP,62,35,ES,L,Relentless lefty grinder
Pete Sampras,ATP,68,28,US,R,Serve-and-volley great
John Isner,ATP,73,20,US,R,Towering server
Nick Kyrgios,ATP,69,26,AU,R,Big serve flair shotmaker
Reilly Opelka,ATP,74,18,US,R,Giant server
Andy Murray,ATP,61,34,GB,R,Defensive counter-puncher
Stan Wawrinka,ATP,64,29,CH,R,One-handed backhand power
Gael Monfils,ATP,62,29,FR,R,Athletic showman
Diego Schwartzman,ATP,57,35,AR,R,Small relentless grinder
Iga Swiatek,WTA,62,42,PL,R,Heavy topspin baseliner
Aryna Sabalenka,WTA,64,39,BY,R,Powerful ball-striker
Coco Gauff,WTA,58,41,US,R,Athletic counter-puncher
Elena Rybakina,WTA,65,35,KZ,R,Big serve flat power
Jessica Pegula,WTA,60,39,US,R,Steady baseliner
Jasmine Paolini,WTA,59,38,IT,R,Compact all-courter
Qinwen Zheng,WTA,61,36,CN,R,Power baseliner
Marketa Vondrousova,WTA,57,38,CZ,L,Lefty tactician
Emma Navarro,WTA,59,37,US,R,Steady baseliner
Daria Kasatkina,WTA,56,40,RU,R,Crafty counter-puncher
Barbora Krejcikova,WTA,58,38,CZ,R,All-court tactician
Madison Keys,WTA,63,35,US,R,Powerful ball-striker
Danielle Collins,WTA,60,37,US,R,Aggressive baseliner
Beatriz Haddad Maia,WTA,58,37,BR,L,Lefty power baseliner
Liudmila Samsonova,WTA,61,34,RU,R,Big hitter
Ekaterina Alexandrova,WTA,60,35,RU,R,Flat power hitter
Maria Sakkari,WTA,59,38,GR,R,Athletic baseliner
Elina Svitolina,WTA,58,38,UA,R,Counter-punching veteran
Victoria Azarenka,WTA,59,39,BY,R,Aggressive returner
Karolina Muchova,WTA,60,38,CZ,R,Elegant all-courter
Jelena Ostapenko,WTA,61,34,LV,R,Fearless ball-striker
Paula Badosa,WTA,58,37,ES,R,Power baseliner
Diana Shnaider,WTA,59,36,RU,L,Lefty power baseliner
Anna Kalinskaya,WTA,58,36,RU,R,All-court shotmaker
Magda Linette,WTA,57,37,PL,R,Steady veteran
Naomi Osaka,WTA,63,35,JP,R,Explosive ball-striker
Belinda Bencic,WTA,59,37,CH,R,Compact all-courter
Katie Boulter,WTA,60,34,GB,R,Flat power hitter
Sorana Cirstea,WTA,57,36,RO,R,Veteran shotmaker
Yulia Putintseva,WTA,55,39,KZ,R,Feisty counter-puncher
Serena Williams,WTA,65,38,US,R,Dominant power server
Venus Williams,WTA,63,34,US,R,Big serve athletic
Justine Henin,WTA,58,42,BE,R,One-handed backhand great
Maria Sharapova,WTA,62,37,RU,R,Powerful baseliner
Caroline Wozniacki,WTA,56,40,DK,R,Defensive counter-puncher
Ashleigh Barty,WTA,61,38,AU,R,Versatile all-courter
Simona Halep,WTA,57,40,RO,R,Consistent baseliner
Petra Kvitova,WTA,62,33,CZ,L,Lefty power hitter
Angelique Kerber,WTA,57,39,DE,L,Lefty counter-puncher
Sloane Stephens,WTA,57,37,US,R,Athletic defender
Amanda Anisimova,WTA,60,36,US,R,Powerful ball-striker
Leylah Fernandez,WTA,56,38,CA,L,Lefty tactician
Marta Kostyuk,WTA,57,37,UA,R,Aggressive baseliner
Elise Mertens,WTA,58,37,BE,R,Steady all-courter
